Country name,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
World,1950,2499322000,81711670,341876800,867688260,1324977300,1503426300,72672420,260165120,267730600,258080860,237173380,413760960,322364670,269392260,189938430,123919624,59093256,14847612,1129242,14469
World,1951,2543130400,83458900,356600770,887273340,1350843300,1526195800,75971736,273141860,271481000,259191630,240517540,420747400,325895740,273626750,193990420,125341750,59735584,14871890,1114293,15671
World,1952,2590271000,86144744,370486820,908814340,1378735100,1549907600,77758420,284342080,278772130,259555360,244720200,427417600,329615740,277757860,198466060,126899540,60458704,14993585,1111125,16169.001
World,1953,2640278800,88318760,384395600,932586800,1407917200,1573818600,80697150,296076800,288553100,259638140,248515440,433655140,333985730,282018500,203168620,128711560,61285016,15219245,1116695,16048
World,1954,2691979300,89850344,396316380,958075900,1438125200,1597577900,82823020,306466050,301220400,260539100,251193730,439788670,339214900,286203740,207818750,130819400,62247110,15473844,1127845,15426
World,1955,2746072000,91877850,406950750,985901600,1470246800,1621455900,84392200,315072900,316528200,262422600,253024880,446039400,345666050,289437060,212542530,133154100,63369140,15775814,1146951,14680
World,1956,2801002800,92828200,416565630,1014436000,1503258600,1645543400,86468780,323737400,331526000,266344350,254209460,452389000,353650460,291539600,217255520,135625500,64617708,16100531,1164396,14514
World,1957,2857866800,94998280,425582820,1045192640,1538473600,1669305000,87488340,330584540,345796500,273813300,254603940,458551260,363014080,292787460,221870690,138165580,66049916,16435203,1181225,14867
World,1958,2916108000,96395490,433661500,1076853200,1574132200,1693140400,89584664,337266020,358411650,284780160,255203140,463987600,373287000,293350880,226613760,140960670,67805900,16795792,1233688,16361
World,1959,2970292200,94290160,437118000,1104641500,1605815900,1716650500,90589250,342827870,369615580,297907940,256350960,468781820,382988830,294416860,231487120,143751300,69412650,17145640,1296871,18583
World,1960,3019233500,92745030,436018270,1128260600,1633471400,1739390300,88134860,343273200,380181980,312060320,257685170,473228500,391273060,296866750,235895360,146706320,70498984,17465832,1332665,20198
World,1961,3068370700,92565750,434590430,1149244000,1660156200,1764618100,86897480,342024700,388983780,325669760,261404110,477955140,398597400,300261820,239951220,150158000,71585910,17830162,1361570,21339
World,1962,3126686700,97911930,438726140,1174249000,1693827000,1794399700,87403310,340814240,397182460,338340320,269267460,482524400,405646340,304118430,244176130,154128690,72919970,18241036,1393488,21877
World,1963,3195779300,107113580,451875330,1207051300,1737333200,1826782500,92882504,344761760,404572220,350603650,279886850,486415000,412157500,308762270,248519280,158422660,74434136,18677052,1431164,22087
World,1964,3267212300,109712580,469079500,1239843000,1783175300,1861250200,101790500,359366900,408649700,362113800,292328450,490442980,418021120,314130720,252880220,162666030,76171230,19222396,1483576,22609
World,1965,3337112000,108841544,485579870,1268848300,1827695500,1897656600,104311304,376738340,410218180,373050180,306485470,494615600,423881000,320566530,256316340,166937890,78047490,19842096,1548286,23063
World,1966,3406417000,108920370,501364830,1295492200,1871754100,1935559700,103539144,392444480,411640500,382486880,320271460,500296220,429962600,328680320,258364160,171211040,80013336,20488244,1613972,23436
World,1967,3475448000,108541360,511646460,1319269400,1915950100,1975775200,103713896,403105120,416578000,391044930,333030820,508796600,436131800,338139970,259508180,175552590,82082696,21231882,1680082,24140
World,1968,3546811000,110814060,515804480,1343594800,1963022700,2017649500,103437010,404990400,429145540,398644770,345350720,519363680,441858500,348335420,260330180,179998460,84176000,22038006,1740183,24850
World,1969,3620655400,113365180,520142800,1369027100,2012379400,2060930800,105772690,406777600,445916000,402968260,356947520,532386370,446897060,358086560,261794860,184579820,86291736,22813552,1804877,25852
World,1970,3695390200,114466110,526218980,1393261700,2061836400,2106120400,108361990,411752860,462382750,404659970,367945060,548076740,451607970,366753920,264680750,188945060,88701520,23503218,1887031,27401
World,1971,3770163200,115411350,532881150,1417150300,2108942700,2151483400,109421730,417469820,478167940,406101300,377354100,565647800,456613820,374285060,268497340,192949250,91514020,24148084,1974478,28733
World,1972,3844800800,115300696,539731000,1439367800,2152162600,2198078500,110367370,424430340,488551420,411085380,385729860,586059140,461401660,381213300,272565440,196922340,94616080,24828820,2066249,30175
World,1973,3920251400,115298370,544571100,1461062800,2193519900,2245679000,110407600,429272700,492871070,423620600,393216030,608700200,465585920,387652860,277457120,200973200,97843176,25563396,2164846,31967
World,1974,3995517000,114954790,546653060,1484271400,2232518100,2291242800,110492480,431698300,497335420,440282850,397498660,632337500,469971260,393535780,283028260,205055000,101104220,26401588,2279210,34221
World,1975,4069437200,113764850,546574300,1506827400,2267689500,2335929900,110256560,432809400,503721730,456531400,399209340,657199940,474471550,399463300,289602560,208384720,104466616,27364204,2410560,37044
World,1976,4142505700,113156980,545127040,1528235900,2299921700,2380890400,109227490,431970050,511105900,472003000,400642980,680257340,480440600,405710560,297743680,210594540,107897340,28410284,2533106,39452
World,1977,4215772400,113087510,543679550,1544625200,2329772000,2430861600,108715944,430592030,518685300,482260320,405565760,701416100,489323070,412074180,307058080,212008110,111443270,29551132,2666083,41466
World,1978,4289657600,113443670,542524800,1553108900,2358358000,2489209900,108706130,429081100,523918140,486665920,417929730,721397000,500233820,418033280,317010980,213162820,115135570,30773852,2828372,43438
World,1979,4365583000,115527480,543799550,1561554300,2387626500,2549738500,109192820,428272100,526523780,491230980,434238700,737630460,513370400,423354750,326470080,215024690,118869220,32025398,2998894,45922
World,1980,4444008000,118225620,548692500,1573398800,2417723400,2610250500,111331370,430466850,526988580,497717800,450454200,750994100,529157820,428345300,334648830,218066370,122374650,33372598,3145513,49409
World,1981,4524627500,120686630,556539800,1587463700,2449547500,2671938000,114046470,435853200,525762940,505160930,466299300,762783360,547108500,433628540,341737120,221869310,125611060,34803660,3269853,53255
World,1982,4607984600,123567350,567530430,1604864600,2482796800,2733599700,116585380,443963070,524467740,512866500,476989900,776744060,567883970,438628770,348394900,225820400,128843980,36351532,3405201,57486
World,1983,4691884000,124582660,579085900,1621005300,2516181000,2797179000,119475896,454503230,523596260,518323200,481878400,796840600,590670700,442975140,354538800,230342830,132089060,37936090,3545644,61687
World,1984,4775836000,125070110,588951600,1635086500,2551754200,2862124300,120525256,463881540,525119580,521015260,486990600,817562800,614517400,447472300,360150900,235528640,135296910,39462570,3701904,65617
World,1985,4861731000,127239380,598278460,1650142000,2590052600,2926769700,121102940,471039070,530389060,521474430,494018020,835497300,639682240,452097100,365871170,241579230,137871410,41019570,3882983,69669
World,1986,4950063000,129854170,607676700,1666709100,2630116000,2991565800,123347960,477822530,538765250,520267230,501814270,852797950,663141400,458415800,371953540,248942200,139529460,42603200,4081325,75077
World,1987,5040984600,132512200,616953200,1686010400,2667833900,3055848400,126043850,484441020,550096500,518960700,509608670,868372860,684544830,467613300,378190500,257289340,140679120,44287044,4306160,82205
World,1988,5132294000,133263900,625964500,1705956100,2698190800,3119255600,128715730,492700580,561822000,518169600,515064320,885512960,704405300,478668160,384125800,266214290,141658690,46052470,4546431,89496
